iter	RMSE
0	3.248110588
1	3.227767819
2	3.207763176
3	3.187857214
4	3.168311436
5	3.148955951
6	3.129918575
7	3.111146534
8	3.092622204
9	3.074294235
10	3.056292702
11	3.038443172
12	3.020891971
13	3.003619892
14	2.986395851
15	2.969457882
16	2.952690828
17	2.936062334
18	2.919755377
19	2.903653657
20	2.887756306
21	2.872051877
22	2.856310716
23	2.841064041
24	2.825749488
25	2.810645374
26	2.795718054
27	2.781006814
28	2.766750088
29	2.752631092
30	2.738696589
31	2.724830582
32	2.711182605
33	2.697608105
34	2.684818747
35	2.672198373
36	2.659825803
37	2.647039245
38	2.63443955
39	2.622392854
40	2.610039976
41	2.598185569
42	2.586707823
43	2.574753011
44	2.563534523
45	2.552191733
46	2.541160478
47	2.529876715
48	2.51924978
49	2.50815524
50	2.497783993
51	2.487080429
52	2.47684273
53	2.466947737
54	2.456617176
55	2.446497543
56	2.436469468
57	2.426958323
58	2.417533886
59	2.40782403
60	2.39830051
61	2.38883805
62	2.379826717
63	2.370681111
64	2.362054441
65	2.353545963
66	2.345086785
67	2.336883413
68	2.328370246
69	2.319834234
70	2.311421562
71	2.303534466
72	2.295848739
73	2.288187284
74	2.280236537
75	2.272403568
76	2.26476638
77	2.257131491
78	2.249871476
79	2.242576124
80	2.235737572
81	2.228542259
82	2.221549325
83	2.214512895
84	2.207626923
85	2.201057377
86	2.194475368
87	2.187726334
88	2.181289425
89	2.174813346
90	2.168214422
91	2.162180073
92	2.155909525
93	2.149822583
94	2.14358193
95	2.137397413
96	2.131649956
97	2.125914314
98	2.120144049
99	2.114441814
100	2.10841731
101	2.102898067
102	2.097089913
103	2.091544491
104	2.08612249
105	2.08103467
106	2.076023175
107	2.070757799
108	2.065436906
109	2.060090759
110	2.055204079
111	2.050443224
112	2.045579176
113	2.040969387
114	2.036341955
115	2.031634024
116	2.026749906
117	2.022424815
118	2.017895032
119	2.013404411
120	2.00879857
121	2.004359186
122	2.00024706
123	1.996112816
124	1.991883048
125	1.987834793
126	1.983525537
127	1.979652847
128	1.975698913
129	1.9721917
130	1.968299723
131	1.96495264
132	1.961187144
133	1.957232107
134	1.95363084
135	1.950025745
136	1.946613381
137	1.943143017
138	1.939713232
139	1.936313893
140	1.93328767
141	1.930025109
142	1.926941106
143	1.924046277
144	1.921027399
145	1.918012086
146	1.914817925
147	1.912042196
148	1.909024668
149	1.90614454
150	1.902979412
151	1.900166036
152	1.897181326
153	1.894234981
154	1.891211729
155	1.888187823
156	1.885471331
157	1.882724381
158	1.880199765
159	1.877719637
160	1.875016359
161	1.872432203
162	1.869927809
163	1.86712163
164	1.864653024
165	1.86217743
166	1.859672205
167	1.857541513
168	1.855130993
169	1.852565346
170	1.850350726
171	1.848143685
172	1.846044339
173	1.843941913
174	1.841899696
175	1.839639552
176	1.837456211
177	1.835418005
178	1.83345752
179	1.831446847
180	1.829392842
181	1.827470381
182	1.825350274
183	1.823228012
184	1.821299431
185	1.819337852
186	1.817333926
187	1.815423186
188	1.813550048
189	1.811689932
190	1.809922112
191	1.808144991
192	1.806537939
193	1.804710326
194	1.802978798
195	1.801394247
196	1.799864687
197	1.79839214
198	1.796824754
199	1.795093639
200	1.793566575
201	1.792112323
202	1.790624809
203	1.789097875
204	1.787515786
205	1.785840694
206	1.784402373
207	1.782923785
208	1.781427489
209	1.780048721
210	1.778375009
211	1.777004913
212	1.775666827
213	1.774029319
214	1.772576796
215	1.771239987
216	1.769808781
217	1.768487996
218	1.767104883
219	1.7658015
220	1.764652171
221	1.763056311
222	1.761680711
223	1.760243978
224	1.758968491
225	1.757683647
226	1.756546765
227	1.755300676
228	1.754046299
229	1.752754062
230	1.751285424
231	1.750309142
232	1.749030768
233	1.747855472
234	1.746781767
235	1.745384525
236	1.744404698
237	1.743101912
238	1.742107109
239	1.740961839
240	1.73996565
241	1.738966293
242	1.73805285
243	1.737229684
244	1.736192006
245	1.735101403
246	1.733862532
247	1.732934427
248	1.731848537
249	1.730942917
250	1.729748315
251	1.728892865
252	1.728067867
253	1.727026728
254	1.726026503
255	1.724941747
256	1.723983623
257	1.723041022
258	1.722075939
259	1.720921931
260	1.720229319
261	1.719569754
262	1.718552951
263	1.717753472
264	1.716724001
265	1.715728629
266	1.71471564
267	1.714115958
268	1.713490861
269	1.712607017
270	1.711966528
271	1.71139277
272	1.71070257
273	1.709672321
