iter	Passed	Remaining
0	112	7866328
1	209	7347518
2	305	7125677
3	396	6932765
4	487	6830339
5	579	6764729
6	671	6713429
7	762	6675339
8	854	6648815
9	945	6618247
10	1036	6594644
11	1126	6571787
12	1215	6544454
13	1305	6528158
14	1397	6519581
15	1486	6501822
16	1578	6497455
17	1670	6494640
18	1759	6480739
19	1849	6472639
20	1941	6469805
21	2032	6463804
22	2123	6461559
23	2211	6448424
24	2303	6446313
25	2393	6442821
26	2486	6443937
27	2579	6444955
28	2670	6443077
29	2761	6440644
30	2849	6430410
31	2940	6429058
32	3032	6428797
33	3121	6424438
34	3214	6426253
35	3306	6426214
36	3396	6422601
37	3486	6418995
38	3577	6417076
39	3665	6411770
40	3758	6412600
41	3847	6409111
42	3940	6410903
43	4033	6413153
44	4125	6412693
45	4217	6413893
46	4309	6413622
47	4398	6410749
48	4487	6406151
49	4578	6405806
50	4670	6406350
51	4756	6398021
52	4847	6397430
53	4940	6398804
54	5030	6397744
55	5121	6396289
56	5212	6396471
57	5300	6391664
58	5391	6391410
59	5483	6391603
60	5574	6391191
61	5665	6390629
62	5755	6389469
63	5845	6387277
64	5934	6384973
65	6026	6386125
66	6115	6383014
67	6205	6382172
68	6296	6381629
69	6385	6379290
70	6476	6379258
71	6564	6375930
72	6653	6373517
73	6743	6372577
74	6834	6372490
75	6927	6373219
76	7017	6372963
77	7109	6372987
78	7200	6372816
79	7289	6371427
80	7378	6369297
81	7467	6367244
82	7554	6363491
83	7646	6364310
84	7735	6362847
85	7824	6361300
86	7915	6360631
87	8006	6360636
88	8096	6360172
89	8184	6357415
90	8275	6357304
91	8366	6357493
92	8458	6358119
93	8548	6357117
94	8639	6357058
95	8729	6356790
96	8820	6356340
97	8911	6356733
98	9004	6357683
99	9094	6357094
100	9184	6356419
101	9271	6353734
102	9361	6353007
103	9450	6351654
104	9542	6352338
105	9632	6351297
106	9723	6351282
107	9813	6350581
108	9903	6350419
109	9993	6349640
110	10080	6347212
111	10170	6346130
112	10261	6346708
113	10352	6346432
114	10442	6345662
115	10531	6344540
116	10621	6344243
117	10710	6342715
118	10801	6342939
119	10892	6343281
